"Name","Alias","Barcode","Coordinate","Reception Date","Source","Species","Volume (ul)","Reception Concentration (ng/ul)","Measured Concentration (ng/ul)","Quantity (ng)","Review State","QC Date","Number of Bases","Number of Reads NovaSeq","Array Technology Quote","MPS Quote","Bioinformatics Quote","Validation Quote"
"Wall-002-D","Wall-002-D","MPS116082","","2018-08-28","RNA","Fish","10","80.0","89.9","918.8","Approved","8/30/18","8,975,721,934","44,434,267","","SCI023568; SCI023567","",""
"Wall-005-D","Wall-005-D","MPS116083","","2018-08-28","RNA","Fish","10","80.0","83.5","835.5","Approved","8/30/18","8,737,968,742","43,257,271","","SCI023568; SCI023567","",""
"Wall-006-D","Wall-006-D","MPS116084","","2018-08-28","RNA","Fish","10","80.0","77.0","750.6","Approved","8/30/18","9,754,311,744","48,288,672","","SCI023568; SCI023567","",""
"Wall-008-D","Wall-008-D","MPS116085","","2018-08-28","RNA","Fish","10","80.0","82.2","818.6","Approved","8/30/18","10,567,250,240","52,313,120","","SCI023568; SCI023567","",""
"Wall-011-D","Wall-011-D","MPS116086","","2018-08-28","RNA","Fish","10","80.0","83.6","837.3","Approved","8/30/18","9,833,806,218","48,682,209","","SCI023568; SCI023567","",""
"Wall-016-D","Wall-016-D","MPS116087","","2018-08-28","RNA","Fish","10","80.0","94.5","977.9","Approved","8/30/18","9,577,257,128","47,412,164","","SCI023568; SCI023567","",""
"Wall-019-D","Wall-019-D","MPS116088","","2018-08-28","RNA","Fish","10","80.0","81.2","805.3","Approved","8/30/18","7,717,804,506","38,206,953","","SCI023568; SCI023567","",""
"Wall-020-D","Wall-020-D","MPS116089","","2018-08-28","RNA","Fish","10","80.0","88.1","894.8","Approved","8/30/18","11,773,197,108","58,283,154","","SCI023568; SCI023567","",""
"Wall-171-D","Wall-171-D","MPS116090","","2018-08-28","RNA","Fish","10","80.0","96.5","1,004.0","Approved","8/30/18","11,079,002,494","54,846,547","","SCI023568; SCI023567","",""
"Wall-172-D","Wall-172-D","MPS116091","","2018-08-28","RNA","Fish","10","80.0","73.2","701.9","Approved","8/30/18","9,676,410,444","47,903,022","","SCI023568; SCI023567","",""
"Wall-173-D","Wall-173-D","MPS116092","","2018-08-28","RNA","Fish","11","80.0","101.6","1,070.7","Approved","8/30/18","9,766,957,752","48,351,276","","SCI023568; SCI023567","",""
"Wall-174-D","Wall-174-D","MPS116093","","2018-08-28","RNA","Fish","10","80.0","92.9","957.4","Approved","8/30/18","11,261,377,184","55,749,392","","SCI023568; SCI023567","",""
"Wall-175-D","Wall-175-D","MPS116094","","2018-08-28","RNA","Fish","17","80.0","83.0","1,450.9","Approved","8/30/18","9,639,769,260","47,721,630","","SCI023568; SCI023567","",""
"Wall-176-D","Wall-176-D","MPS116095","","2018-08-28","RNA","Fish","10","80.0","87.2","883.5","Approved","8/30/18","9,454,142,168","46,802,684","","SCI023568; SCI023567","",""
"Wall-177-D","Wall-177-D","MPS116096","","2018-08-28","RNA","Fish","10","80.0","89.0","906.5","Approved","8/30/18","8,331,223,562","41,243,681","","SCI023568; SCI023567","",""
